Shared Model,Success %,,,,
top_long,5.00%,,,,
top_short,0.83%,,,Macro-Average,11.88%
pant_long,3%,,,,
pant_short,39.17%,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Unseen Percentages,Unseen_0,Unseen_1,Average,,
top_long,0.00%,10.00%,5.00%,,
top_short,0.00%,0.00%,0.00%,,
pant_long,0.00%,0.00%,0.00%,,
pant_short,10.00%,30.00%,20.00%,,
